id,RT1_K,RT1_J,T1_Ja,technique,mean_confidence_interval_inf,T1_I,T1_J,T1_Ia,cost_mean,correct_result,T1_K,T1_Ka,U1_K,U1_J,U1_I,runs,RT1_I,mean_confidence_interval_sup,cost_std
1,1,8,64,RS,0.111689312764307,1,1,64,0.11443385714285714,True,32,128,28,2,1,35,1,0.11717840152140728,0.008284307079025489
2,8,1,256,RS,0.19414508357882476,512,32,2048,0.19588577142857144,True,32,256,7,1,1,35,8,0.19762645927831812,0.005254202769950459
3,1,1,1024,RS,0.09650603564653695,16,512,128,0.09964668,True,64,512,1,13,27,35,1,0.10278732435346305,0.009479920402613395
4,8,1,1024,RS,0.24118841890147943,256,512,2048,0.24637982857142857,True,64,64,23,1,19,35,8,0.2515712382413777,0.015670080693539548
5,8,8,1024,RS,0.1993580946200947,512,1,512,0.1999358571428572,True,16,256,7,16,1,35,1,0.20051361966561967,0.001743955096781978
6,1,1,128,RS,0.3246679655256232,1,1,256,0.3293890857142857,True,1,2048,22,29,1,35,32,0.3341102059029482,0.014250529051575452
7,1,8,1,RS,0.24814844135770434,128,32,512,0.2531824,True,1,256,19,20,1,35,8,0.2582163586422956,0.015194820510762397
8,32,1,64,RS,0.09935300093425929,256,32,256,0.10226654285714286,True,512,512,9,1,17,35,1,0.10518008478002643,0.00879442000115611
9,1,8,2048,RS,0.24885727636232938,1,32,512,0.25353991428571426,True,128,2048,3,1,13,35,8,0.2582225522090992,0.014134371737761272
10,32,1,512,RS,inf,128,1,1024,inf,False,32,128,29,22,1,1,1,inf,inf
11,32,1,256,RS,inf,256,256,1024,inf,False,64,1,24,21,1,1,1,inf,inf
12,1,1,1,RS,0.30624262689756304,32,64,128,0.3108904285714286,True,128,2048,22,1,18,35,32,0.3155382302452942,0.014029219789497949
13,1,1,1,RS,0.2878051926147726,1,512,2048,0.29365537142857145,True,16,512,11,1,28,35,32,0.2995055502423703,0.017658551320755483
14,1,1,256,RS,0.10830517573914196,16,1,1,0.11130214285714286,True,128,1024,7,1,4,35,32,0.11429910997514377,0.009046235909064556
15,1,32,1024,RS,0.28849535763985207,32,64,64,0.2942910285714286,True,256,256,1,14,12,35,1,0.3000866995030051,0.01749402126684708
16,1,8,2048,RS,0.22383903682127376,64,512,1024,0.2288146,True,64,256,1,27,10,35,1,0.23379016317872625,0.015018555934386156
17,32,1,64,RS,0.2832626122560569,256,32,2048,0.2885386,True,64,1024,24,19,1,35,1,0.29381458774394303,0.015925376524277217
18,8,1,2048,RS,0.081312100792929,16,256,512,0.08321181714285714,True,256,256,1,17,19,35,1,0.08511153349278527,0.00573422449600321
19,1,8,1,RS,0.2286442725220725,512,16,1024,0.23353014285714288,True,16,128,1,7,29,35,1,0.23841601319221326,0.014747821358023126
20,32,1,512,RS,0.10000159501322681,32,64,64,0.10298230285714285,True,256,2048,8,1,1,35,1,0.1059630107010589,0.008997157883417114
21,1,1,64,RS,0.30130382311457143,256,1,512,0.30765614285714293,True,32,128,25,19,1,35,32,0.31400846259971443,0.019174245394938134
22,32,1,512,RS,0.1356736558862511,128,256,512,0.1385061142857143,True,512,1024,1,14,20,35,1,0.1413385726851775,0.0085496723438351
23,32,1,512,RS,0.20322939784306657,1,16,256,0.2084406857142857,True,64,1024,1,16,3,35,1,0.21365197358550483,0.015730082318868115
